number,weather_main,weather_description,weather_id,weather_icon,position_lat,position_long,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,last_update,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
1,Clouds,"broken clouds",803,04n,53.344,-6.2672,279.58,277.69,278.51,280.03,1018,77,10000,2.57,240,75,"2024-02-27 23:15:21",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
2,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.39,276.21,278.51,280.03,1018,77,10000,4.63,220,40,"2024-02-27 23:17:59",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
3,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.34,276.15,277.58,280.03,1018,78,10000,4.63,220,40,"2024-02-27 23:21:08",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
4,Clouds,"broken clouds",803,04n,53.344,-6.2672,279.58,277.69,278.51,280.03,1018,77,10000,2.57,240,75,"2024-02-27 23:15:21",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
5,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.34,276.15,277.58,280.03,1018,78,10000,4.63,220,40,"2024-02-27 23:21:08",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
6,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.39,276.21,278.51,280.03,1018,77,10000,4.63,220,40,"2024-02-27 23:17:59",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
7,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.34,276.15,277.58,280.03,1018,78,10000,4.63,220,40,"2024-02-27 23:26:33",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
8,Clouds,"scattered clouds",802,03n,53.344,-6.2672,279.21,275.99,278.48,279.51,1018,77,10000,4.63,220,40,"2024-02-27 23:59:32",2,2016139,IE,"2024-02-27 07:18:57","2024-02-27 17:57:13",0,2964574,Dublin,200
9,Clouds,"scattered clouds",802,03n,53.344,-6.2672,278.85,276.1,277.68,279.4,1018,80,10000,3.6,210,40,"2024-02-28 00:26:21",2,2016139,IE,"2024-02-28 07:16:41","2024-02-28 17:59:07",0,2964574,Dublin,200
10,Clouds,"scattered clouds",802,03n,53.344,-6.2672,278.87,276.13,277.02,279.96,1018,80,10000,3.6,210,40,"2024-02-28 00:55:00",2,2016139,IE,"2024-02-28 07:16:41","2024-02-28 17:59:07",0,2964574,Dublin,200
11,Clouds,"scattered clouds",802,03n,53.344,-6.2672,278.97,276.58,277.77,279.96,1018,80,10000,3.09,200,40,"2024-02-28 01:27:46",2,2016139,IE,"2024-02-28 07:16:41","2024-02-28 17:59:07",0,2964574,Dublin,200
