address,banking,bike_stands,bonus,contract_name,name,number,position_lat,position_long
"Clarendon Row",0,31,0,dublin,"CLARENDON ROW",1,53.340927,-6.262501
"Blessington Street",0,20,0,dublin,"BLESSINGTON STREET",2,53.356769,-6.26814
"Bolton Street",0,20,0,dublin,"BOLTON STREET",3,53.351182,-6.269859
"Greek Street",0,20,0,dublin,"GREEK STREET",4,53.346874,-6.272976
"Charlemont Street",0,40,0,dublin,"CHARLEMONT PLACE",5,53.330662,-6.260177
"Christchurch Place",0,20,0,dublin,"CHRISTCHURCH PLACE",6,53.343368,-6.27012
"High Street",0,29,0,dublin,"HIGH STREET",7,53.343565,-6.275071
"Custom House Quay",0,30,0,dublin,"CUSTOM HOUSE QUAY",8,53.347884,-6.248048
"Exchequer Street",0,24,0,dublin,"EXCHEQUER STREET",9,53.343034,-6.263578
"Dame Street",1,16,0,dublin,"DAME STREET",10,53.344007,-6.266802
"Earlsfort Terrace",0,30,0,dublin,"EARLSFORT TERRACE",11,53.334295,-6.258503
"Eccles Street",0,20,0,dublin,"ECCLES STREET",12,53.359246,-6.269779
"Fitzwilliam Square West",0,30,0,dublin,"FITZWILLIAM SQUARE WEST",13,53.336074,-6.252825
"Fownes Street Upper",0,30,0,dublin,"FOWNES STREET UPPER",14,53.344603,-6.263371
"Hardwicke Street",0,16,0,dublin,"HARDWICKE STREET",15,53.355473,-6.264423
"Georges Quay",0,20,0,dublin,"GEORGES QUAY",16,53.347508,-6.252192
"Golden Lane",0,20,0,dublin,"GOLDEN LANE",17,53.340803,-6.267732
"Grantham Street",0,30,0,dublin,"GRANTHAM STREET",18,53.334123,-6.265436
"Herbert Place",0,30,0,dublin,"HERBERT PLACE",19,53.334432,-6.245575
"James Street East",0,30,0,dublin,"JAMES STREET EAST",20,53.336597,-6.248109
"Leinster Street South",0,30,0,dublin,"LEINSTER STREET SOUTH",21,53.34218,-6.254485
"Townsend Street",0,20,0,dublin,"TOWNSEND STREET",22,53.345922,-6.254614
